date,business_investment_rate
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,0.9615384615384581
2017-05-01,0.9615384615384581
2017-06-01,0.9615384615384581
2017-07-01,-3.738317757009346
2017-08-01,-3.738317757009346
2017-09-01,-3.738317757009346
2017-10-01,1.9417475728155331
2017-11-01,1.9417475728155331
2017-12-01,1.9417475728155331
2018-01-01,-0.952380952380949
2018-02-01,-0.952380952380949
2018-03-01,-0.952380952380949
2018-04-01,-2.857142857142858
2018-05-01,-2.857142857142858
2018-06-01,-2.857142857142858
2018-07-01,-0.9708737864077666
2018-08-01,-0.9708737864077666
2018-09-01,-0.9708737864077666
2018-10-01,-1.904761904761909
2018-11-01,-1.904761904761909
2018-12-01,-1.904761904761909
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,3.9215686274509887
2019-05-01,3.9215686274509887
2019-06-01,3.9215686274509887
2019-07-01,2.941176470588225
2019-08-01,2.941176470588225
2019-09-01,2.941176470588225
2019-10-01,1.9417475728155331
2019-11-01,1.9417475728155331
2019-12-01,1.9417475728155331
2020-01-01,-0.9615384615384581
2020-02-01,-0.9615384615384581
2020-03-01,-0.9615384615384581
2020-04-01,-21.698113207547166
2020-05-01,-21.698113207547166
2020-06-01,-21.698113207547166
2020-07-01,-11.428571428571432
2020-08-01,-11.428571428571432
2020-09-01,-11.428571428571432
2020-10-01,-6.666666666666665
2020-11-01,-6.666666666666665
2020-12-01,-6.666666666666665
2021-01-01,-11.650485436893199
2021-02-01,-11.650485436893199
2021-03-01,-11.650485436893199
2021-04-01,18.07228915662651
2021-05-01,18.07228915662651
2021-06-01,18.07228915662651
2021-07-01,4.3010752688172005
2021-08-01,4.3010752688172005
2021-09-01,4.3010752688172005
2021-10-01,-1.0204081632653073
2021-11-01,-1.0204081632653073
2021-12-01,-1.0204081632653073
2022-01-01,9.8901098901099
2022-02-01,9.8901098901099
2022-03-01,9.8901098901099
2022-04-01,4.081632653061229
2022-05-01,4.081632653061229
2022-06-01,4.081632653061229
2022-07-01,6.185567010309279
2022-08-01,6.185567010309279
2022-09-01,6.185567010309279
2022-10-01,4.123711340206193
2022-11-01,4.123711340206193
2022-12-01,4.123711340206193
2023-01-01,7.000000000000006
2023-02-01,7.000000000000006
2023-03-01,7.000000000000006
2023-04-01,4.90196078431373
2023-05-01,4.90196078431373
2023-06-01,4.90196078431373
2023-07-01,0.9708737864077666
2023-08-01,0.9708737864077666
2023-09-01,0.9708737864077666
2023-10-01,4.950495049504955
2023-11-01,4.950495049504955
2023-12-01,4.950495049504955
2024-01-01,-0.9345794392523366
2024-02-01,-0.9345794392523366
2024-03-01,-0.9345794392523366
2024-04-01,0.9345794392523255
2024-05-01,0.9345794392523255
2024-06-01,0.9345794392523255
2024-07-01,5.769230769230771
2024-08-01,5.769230769230771
2024-09-01,5.769230769230771
2024-10-01,1.8867924528301883
2024-11-01,1.8867924528301883
2024-12-01,1.8867924528301883
2025-01-01,6.60377358490567
2025-02-01,6.60377358490567
